album_id,album_name,album_type,release_date,total_tracks,url
2JzeY85q8wFjex74N4sSNP,JARAK DAN WAKTU,single,2025-07-11,1,https://open.spotify.com/album/2JzeY85q8wFjex74N4sSNP
7GBjUgRDxjfUJDHgRnUBrl,Pembalasan,single,2024-05-23,1,https://open.spotify.com/album/7GBjUgRDxjfUJDHgRnUBrl
4udr5Fw2wsppo6vjWBsRG5,Synthetic Flower,single,2025-05-12,1,https://open.spotify.com/album/4udr5Fw2wsppo6vjWBsRG5
7eYLWtzyu2fLLOkdvKY9SQ,Hampa,single,2025-08-24,1,https://open.spotify.com/album/7eYLWtzyu2fLLOkdvKY9SQ
7iK19Zyzbun76lhc2DaxgU,Echo Chamber,single,2025-05-31,1,https://open.spotify.com/album/7iK19Zyzbun76lhc2DaxgU
3d0hZvdOh7FRdgpSwsVJQp,Pixels And Pain,single,2025-06-05,4,https://open.spotify.com/album/3d0hZvdOh7FRdgpSwsVJQp
0N5mXwuiDLDBOVUZI0MrNP,Kita Yang Bisa,single,2023-01-05,1,https://open.spotify.com/album/0N5mXwuiDLDBOVUZI0MrNP
21iQfmTvvKRlCuDCE3pqb0,Terima Kasih Orang Baik,single,2025-03-21,1,https://open.spotify.com/album/21iQfmTvvKRlCuDCE3pqb0
15Ar2DWKLdSm4iyyhXli9q,Resah,single,2023-02-03,1,https://open.spotify.com/album/15Ar2DWKLdSm4iyyhXli9q
01w1dx6iPZ1e1Xhx4mr9zy,Limerence,single,2025-07-18,1,https://open.spotify.com/album/01w1dx6iPZ1e1Xhx4mr9zy
6iouAGOCicSo8yUPxzyUeR,Orang Biasa,single,2025-08-22,1,https://open.spotify.com/album/6iouAGOCicSo8yUPxzyUeR
2Tx1oHjBd6EOipDxmQKpHf,Ku Bukan Milikmu Lagi,single,2024-09-02,1,https://open.spotify.com/album/2Tx1oHjBd6EOipDxmQKpHf
11Uv1fpFBvn9fHqhBrDAJr,ASHBERY75,single,2025-02-14,6,https://open.spotify.com/album/11Uv1fpFBvn9fHqhBrDAJr
0wnQiEpSGznjd6HfJFbcBr,Yes Yes Semua Baik,single,2025-08-06,1,https://open.spotify.com/album/0wnQiEpSGznjd6HfJFbcBr
6Cjfh4nhTKsbsJP0bFCgqI,Tawakal,single,2025-05-14,1,https://open.spotify.com/album/6Cjfh4nhTKsbsJP0bFCgqI
2ciuBN5ZorQoo1oIi73dwL,Apa Bisa,single,2021-10-22,1,https://open.spotify.com/album/2ciuBN5ZorQoo1oIi73dwL
7rc4lwJNj6NplACsfjR0t6,Mesin waktu cinta,single,2025-02-08,1,https://open.spotify.com/album/7rc4lwJNj6NplACsfjR0t6
21UBSke16TIBrUqqj3buqG,Sebuah Keyakinan,single,2025-03-25,1,https://open.spotify.com/album/21UBSke16TIBrUqqj3buqG
3ck4zrwtAxJMSWJKkSlTWK,Berakhir Dalam Diam,single,2025-05-25,1,https://open.spotify.com/album/3ck4zrwtAxJMSWJKkSlTWK
2dOk8G8Bnu5LIrEoYcDwg3,Cerita Jakarta,single,2025-06-11,1,https://open.spotify.com/album/2dOk8G8Bnu5LIrEoYcDwg3
10ACT0d75wHgbzLVgzbPB3,Cahaya Hati,single,2024-12-05,1,https://open.spotify.com/album/10ACT0d75wHgbzLVgzbPB3
3N2tPblvtXcj9RqOzDMBWo,Dalam Langkah Yang Sama,single,2025-05-10,1,https://open.spotify.com/album/3N2tPblvtXcj9RqOzDMBWo
7k5wFMzHW0E3o0cNxefyBV,Bungah,single,2025-06-20,1,https://open.spotify.com/album/7k5wFMzHW0E3o0cNxefyBV
